Study Cases\01- Load Flow\Results.ElmRes	Nine-bus System\Bus 1.ElmTerm	Nine-bus System\Bus 1.ElmTerm	Nine-bus System\Bus 1.ElmTerm	Nine-bus System\Bus 2.ElmTerm	Nine-bus System\Bus 2.ElmTerm	Nine-bus System\Bus 2.ElmTerm	Nine-bus System\Bus 3.ElmTerm	Nine-bus System\Bus 3.ElmTerm	Nine-bus System\Bus 3.ElmTerm	Nine-bus System\Bus 4.ElmTerm	Nine-bus System\Bus 4.ElmTerm	Nine-bus System\Bus 4.ElmTerm	Nine-bus System\Bus 5.ElmTerm	Nine-bus System\Bus 5.ElmTerm	Nine-bus System\Bus 5.ElmTerm	Nine-bus System\Bus 6.ElmTerm	Nine-bus System\Bus 6.ElmTerm	Nine-bus System\Bus 6.ElmTerm	Nine-bus System\Bus 7.ElmTerm	Nine-bus System\Bus 7.ElmTerm	Nine-bus System\Bus 7.ElmTerm	Nine-bus System\Bus 8.ElmTerm	Nine-bus System\Bus 8.ElmTerm	Nine-bus System\Bus 8.ElmTerm	Nine-bus System\Bus 9.ElmTerm	Nine-bus System\Bus 9.ElmTerm	Nine-bus System\Bus 9.ElmTerm	Nine-bus System\G1.ElmSym	Nine-bus System\G2.ElmSym	Nine-bus System\G3.ElmSym
b:tnow in s	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	m:u in p.u.	m:phiu in deg	m:fehz in Hz	s:xspeed in p.u.	s:xspeed in p.u.	s:xspeed in p.u.
-0,100000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,090000	1,040000	0,000000	60,000000	1,025000	9,278784	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312374	60,000000	1,025770	153,718483	60,000000	1,015883	150,726530	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,080000	1,040000	0,000000	60,000000	1,025000	9,278784	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312374	60,000000	1,025770	153,718483	60,000000	1,015883	150,726530	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,070000	1,040000	0,000000	60,000000	1,025000	9,278784	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312374	60,000000	1,025770	153,718483	60,000000	1,015883	150,726530	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,060000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718483	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,050000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,040000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,030000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664031	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,020000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664032	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
-0,010000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664032	60,000000	1,025792	147,783232	60,000000	0,995639	146,011464	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
0,000000	1,040000	0,000000	60,000000	1,025000	9,278785	60,000000	1,025000	4,664032	60,000000	1,025792	147,783232	60,000000	0,995639	146,011465	60,000000	1,012657	146,312375	60,000000	1,025770	153,718484	60,000000	1,015883	150,726531	60,000000	1,032354	151,965998	60,000000	1,000000	1,000000	1,000000
